BI Procedure,Start Date Time,Status,Description,End Date Time,Duration in Seconds,Rows Count
d_agency.py,2021-11-03 11:21:02.511781,Pass,Successful Run,2021-11-03 11:21:02.702783,0.191002,91
d_customer.py,2021-11-03 11:21:02,Fail,'psycopg2.extensions.cursor' object has no attribute 'commit',2021-11-03 11:21:02,0,0
d_naics.py,2021-11-03 11:21:06.216664,Pass,Successful Run,2021-11-03 11:21:15.767407,9.550743,1276
d_psc.py,2021-11-03 11:21:15.778409,Pass,Successful Run,2021-11-03 11:21:27.805059,12.02665,3122
f_advantage.py,2021-11-03 11:21:27.814060,Pass,Successful Run,2021-11-03 11:21:28.585026,0.770966,3129636
f_budget_authority.py,2021-11-03 11:21:28.593027,Pass,Successful Run,2021-11-03 11:21:28.957988,0.364961,199550
f_budget_outlays.py,2021-11-03 11:21:28.966991,Pass,Successful Run,2021-11-03 11:21:29.406995,0.440004,205250
f_budget_receipts.py,2021-11-03 11:21:29.418998,Pass,Successful Run,2021-11-03 11:21:29.600997,0.181999,12600
f_campaign.py,2021-11-03 11:21:29.611004,Pass,Successful Run,2021-11-03 11:21:35.838823,6.227819,26357329
f_case.py,2021-11-03 11:21:35.847825,Pass,Successful Run,2021-11-03 11:21:37.079754,1.231929,1986818
f_ebuy.py,2021-11-03 11:21:37.090756,Pass,Successful Run,2021-11-03 11:21:37.356762,0.266006,85303
f_eloqua_emailclick.py,2021-11-03 11:21:37.364760,Pass,Successful Run,2021-11-03 11:21:37.882722,0.517962,237636
f_eloqua_emailopen.py,2021-11-03 11:21:37.890730,Pass,Successful Run,2021-11-03 11:21:39.379699,1.488969,4435718
f_eloqua_emailsend.py,2021-11-03 11:21:39.388707,Pass,Successful Run,2021-11-03 11:21:43.378582,3.989875,16573475
f_eloqua_pageview.py,2021-11-03 11:21:43.386588,Pass,Successful Run,2021-11-03 11:21:45.115476,1.728888,3113316
f_eloqua_webvisit.py,2021-11-03 11:21:45.125526,Pass,Successful Run,2021-11-03 11:21:45.885445,0.759919,1053972
f_opportunity.py,2021-11-03 11:21:45.896490,Pass,Successful Run,2021-11-03 11:21:46.195492,0.299002,37851
f_survey.py,2021-11-03 11:21:46.209494,Pass,Successful Run,2021-11-03 11:21:47.042459,0.832965,1283413
s_fpds_obligations.py,2021-11-03 11:21:47.050461,Pass,Successful Run,2021-11-03 11:22:13.706709,26.656248,6935770
