Integration File,Start Date Time,Status,Description,End Date Time,Duration in Seconds,Rows Updated,Rows Created
eloqua_accounts.py,2021-09-28 16:06:16.374846,Pass,Successful Run,2021-09-28 16:06:22.629091,6.254245,27,22
eloqua_bounceback.py,2021-09-28 16:06:22.649090,Pass,Successful Run,2021-09-28 16:06:27.962935,5.313845,0,26
eloqua_contacts.py,2021-09-28 16:06:27.977943,Pass,Successful Run,2021-09-28 16:06:37.155605,9.177662,386,400
eloqua_emailclickthrough.py,2021-09-28 16:06:37.171232,Pass,Successful Run,2021-09-28 16:06:42.733621,5.562389,18,285
eloqua_emailopen.py,2021-09-28 16:06:42.764879,Pass,Successful Run,2021-09-28 16:07:04.764364,21.999485,1220,9062
eloqua_emailsend.py,2021-09-28 16:07:04.764364,Pass,Successful Run,2021-09-28 16:07:38.607317,33.842953,3736,23077
eloqua_formsubmit.py,2021-09-28 16:07:38.622943,Pass,Successful Run,2021-09-28 16:07:47.966449,9.343506,24,157
eloqua_pageview.py,2021-09-28 16:07:47.966449,Pass,Successful Run,2021-09-28 16:08:05.888604,17.922155,125,1615
eloqua_subscribe.py,2021-09-28 16:08:05.906604,Pass,Successful Run,2021-09-28 16:08:11.465921,5.559317,25,233
eloqua_unsubscribe.py,2021-09-28 16:08:11.481545,Pass,Successful Run,2021-09-28 16:08:16.843983,5.362438,25,233
eloqua_webvisit.py,2021-09-28 16:08:16.856397,Pass,Successful Run,2021-09-28 16:08:23.371892,6.515495,44,542
salesforce_account.py,2021-09-28 16:08:23.793774,Pass,Successful Run,2021-09-28 16:08:29.387373,5.593599,238,22
salesforce_campaign.py,2021-09-28 16:08:29.402999,Pass,Successful Run,2021-09-28 16:08:34.137255,4.734256,196,23
salesforce_campaignmember.py,2021-09-28 16:08:34.152881,Pass,Successful Run,2021-09-28 16:09:08.995814,34.842933,4458,22318
salesforce_case.py,2021-09-28 16:09:08.995814,Pass,Successful Run,2021-09-28 16:09:30.033767,21.037953,9153,1149
salesforce_contact.py,2021-09-28 16:09:30.042202,Pass,Successful Run,2021-09-28 16:09:49.866134,19.823932,10663,249
salesforce_event.py,2021-09-28 16:09:49.881134,Pass,Successful Run,2021-09-28 16:10:02.947683,13.066549,194,167
salesforce_lead.py,2021-09-28 16:10:02.947683,Pass,Successful Run,2021-09-28 16:10:09.916263,6.96858,813,169
salesforce_opportunity.py,2021-09-28 16:10:09.916263,Pass,Successful Run,2021-09-28 16:10:18.642476,8.726213,1351,18
salesforce_recordtype.py,2021-09-28 16:10:18.656478,Pass,Successful Run,2021-09-28 16:10:22.525373,3.868895,116,0
salesforce_task.py,2021-09-28 16:10:22.541002,Pass,Successful Run,2021-09-28 16:10:46.024800,23.483798,11794,5332
salesforce_user.py,2021-09-28 16:10:46.040428,Pass,Successful Run,2021-09-28 16:13:04.380439,138.340011,126734,69
